id,name,cuisine,price_per_person,rating,distance_km,location,opening_hours,tags,best_for,menu_highlights,review_summary,pros,cons,source
1,巡味顺德菜(大运店),顺德菜,103,4.8,0.54,大运天地购物中心北区4栋NL206号,11:00-14:30;17:00-21:00,"顺德菜,粤菜,人气榜,包厢,可预订,付费停车,宝宝椅","朋友聚餐,家庭聚餐,商务简餐,多人聚餐","巡味脆皮鸡,鲍汁自磨豆腐,顺德双皮奶",龙岗区粤菜打卡人气榜第1名，评分高，适合多人聚餐和家庭用餐。,评分高;有包厢;可预订;推荐菜明确,人均偏高;非全天营业,dianping_manual
2,星巴克(深圳香港中文大学店),咖啡,38,4.4,1.2,龙翔大道2001号香港中文大学实验楼首层,07:00-21:30,"咖啡,校园内,自习,甜品,付费停车,宝宝椅","自习办公,咖啡聊天,快速饮品,校园简餐","太妃榛果星冰乐,馥芮白,抹茶拿铁",位于香港中文大学深圳校内，营业时间长，适合自习办公和咖啡聊天。,校内方便;营业时间长;适合学习办公,不适合正式聚餐;无包厢,dianping_manual
3,客家本色·客家菜(龙岗星河COCO Park店),客家菜,78,4.8,0.34,龙城街道爱南路666号星河时代购物公园401,11:00-21:30,"客家菜,热门榜,包厢,可预订,宝宝椅,付费停车","朋友聚餐,家庭聚餐,商务简餐","客家手撕盐焗鸡,客家酿豆腐,生炒有机甜菜心",大运客家菜热门榜第1名，评分高，适合想吃客家菜的聚餐场景。,评分高;有包厢;可预订;离地铁近,商场饭点可能排队,dianping_manual
4,客家园.山野土菜.宴席(爱联店),客家菜,73,4.8,0.98,龙城街道新丰路133号,11:00-14:00;17:00-21:00,"客家菜,山野土菜,宴席,包厢,大桌,免费停车","朋友聚餐,家庭聚餐,宴席,多人聚餐","客家园煎酿豆腐,盐焗手撕鸡,龙川土猪汤",大运客家菜回头客榜第1名，有大桌和免费停车，适合家庭宴席。,评分高;有大桌;免费停车;适合宴席,距离地铁稍远;非全天营业,dianping_manual
5,清潮·潮菜(龙岗大运天地店),潮汕菜,90,4.1,0.57,大运天地购物中心北区7栋2楼,09:30-21:00,"潮汕菜,包厢,大桌,宝宝椅,付费停车","朋友聚餐,家庭聚餐,潮汕菜晚餐","卤水拼盘,金不换捞汁花甲,老菜脯炒饭",大运潮汕菜热门榜第1名，环境和服务评分较好，适合潮汕菜聚餐。,有包厢;有大桌;营业时间连续,综合评分相对一般;人均中高,dianping_manual
6,浙澜小馆·东海小海鲜(大运旗舰店),浙菜,105,4.8,0.92,大运天地购物中心北区10栋,11:00-14:00;17:00-21:00,"浙菜,江浙菜,小海鲜,包厢,可带宠物,付费停车","朋友聚餐,家庭聚餐,海鲜小聚","沙蒜烧绿豆面,沸腾三宝,浙澜一绝烤斧头鱼",龙岗区江浙菜热门榜第1名，环境和服务评分高，适合江浙菜和小海鲜聚餐。,评分高;环境好;可带宠物;推荐菜有特色,人均偏高;非全天营业,dianping_manual
7,蔡澜点心·粤菜(龙岗大运天地店),粤菜,82,4.6,0.19,大运天地购物中心中区3栋SL05,08:00-22:00,"粤菜,粤式点心,早茶,大桌,宝宝椅,可带宠物","早茶,朋友聚餐,家庭聚餐,快速正餐","酥皮山楂叉烧包,青姜蓉海鲜炒饭,蔡澜鲜虾红米肠",大运粤菜回头客榜第3名，营业时间长，离地铁近，适合早茶和粤式点心。,营业时间长;离地铁近;有大桌;适合早茶,饭点可能等位;无明确包厢信息,dianping_manual
8,南粤春·奥林宾馆·早茶粤菜·海鲜火锅,海鲜,71,4.6,1.5,国际大学园路18号北理莫斯科大学对面,08:30-14:00;17:00-21:00,"海鲜,早茶,粤菜,火锅,包厢,大桌,免费停车","朋友聚餐,家庭聚餐,早茶,海鲜火锅","芝士焗龙虾仔,北京烤鸭,原盅炖椰子汤",龙岗区海鲜打卡人气榜第1名，有包厢和大桌，适合家庭聚餐或海鲜火锅。,人均适中;有包厢;免费停车;食材评分高,距离地铁信息缺失;非全天营业,dianping_manual
9,香港茗星坊茶餐厅(大运天地店),茶餐厅,53,4.4,0.34,大运天地购物中心中区5栋2层SL255号,08:00-22:00,"茶餐厅,港式,平价,大桌,无障碍设施,宝宝椅","快速午餐,朋友简餐,学生餐,港式茶餐厅","超大杯招牌冻柠茶,黯然销魂饭,茗星陈皮烧鸭拼叉烧",龙岗区茶餐厅好评榜第1名，价格相对友好，适合快速午餐和朋友简餐。,价格友好;营业时间长;离地铁近;港式选择多,环境和服务评分中等;饭点人多,dianping_manual
10,客语客家菜(大运天地店),客家菜,77,4.5,0.19,大运天地购物中心中区2栋,11:00-21:00,"客家菜,好评榜,包厢,商场餐厅","朋友聚餐,家庭聚餐,客家菜晚餐","广东非遗盐焗鸡,客家酿豆腐,客语土猪汤",大运客家菜好评榜第1名，离地铁近，有包厢，适合客家菜聚餐。,离地铁近;有包厢;价格适中;推荐菜经典,营业时间较普通;服务信息较少,dianping_manual
