id,name,cuisine,price_per_person,rating,distance_km,location,opening_hours,tags,best_for,menu_highlights,review_summary,pros,cons,source
1,青禾轻食,轻食,38,4.6,0.8,五道口商圈,10:00-21:00,"轻食,健康,低脂,素食,快速","工作日午餐,健身餐,独自用餐","鸡胸肉沙拉,牛油果谷物碗,低卡三明治","食材新鲜，出餐快，适合想吃健康餐的人。","出餐快;热量低;离学校近","晚餐氛围一般;座位较少",mock_review
2,巷口牛肉面,中餐,32,4.4,0.5,学校东门,11:00-22:00,"面食,中餐,不辣,平价,学生","快速午餐,朋友简餐,学生餐","番茄牛肉面,清汤牛肉面,煎饺","口味温和，分量足，价格适合学生。","平价;不辣;离学校近","饭点排队明显",mock_review
3,湘味小馆,湘菜,55,4.5,1.4,学院路,11:00-22:30,"湘菜,辣,聚餐,家常菜","朋友聚餐,重口味晚餐","剁椒鱼头,小炒黄牛肉,手撕包菜","菜品下饭，辣味足，适合喜欢重口味的人。","适合聚餐;味道足;分量大","不适合不能吃辣的人",mock_review
4,书香咖啡,咖啡,36,4.7,0.6,校园西侧,08:00-20:00,"咖啡,安静,自习,甜品","自习办公,咖啡聊天,独自学习","拿铁,美式,抹茶蛋糕,贝果","环境安静，插座多，适合学习和办公。","安静;插座多;咖啡稳定","正餐选择少",mock_review
5,月光西餐厅,西餐,168,4.8,2.8,三里屯,17:00-23:00,"西餐,约会,浪漫,高端","约会,纪念日,生日","松露意面,海鲜烩饭,提拉米苏","灯光柔和，服务细致，很适合约会。","氛围好;服务好;适合约会","价格高;需要预约",mock_review
6,塔可小站,墨西哥菜,42,4.2,1.0,五道口商圈,10:30-21:30,"平价,快餐,微辣,休闲","快速午餐,学生餐","鱼肉塔可,鸡肉卷饼,芝士玉米片","价格友好，出餐快，适合随便吃一顿。","便宜;出餐快;氛围轻松","部分菜偏辣",mock_review
7,北町寿司,日料,92,4.5,1.9,成府路,11:30-22:00,"日料,寿司,安静,海鲜","约会,小型聚餐","三文鱼寿司,鳗鱼饭,乌冬面","食材新鲜，环境相对安静，适合两三个人吃。","食材新鲜;安静;摆盘好","价格略高;素食选择少",mock_review
8,汉堡研究所,美式,48,4.3,0.9,学校南门,11:00-23:00,"汉堡,夜宵,朋友聚餐,休闲","夜宵,朋友聚餐, casual dinner","经典牛肉堡,鸡腿堡,芝士薯条","分量足，营业到比较晚，适合朋友临时聚餐。","营业晚;适合多人;吃得饱","不够健康;环境较吵",mock_review
9,素里素食,素食,58,4.6,1.6,学院路,10:00-21:00,"素食,健康,安静,轻食","素食晚餐,健康餐","豆腐能量碗,素咖喱,坚果意面","植物基菜品选择多，环境清爽安静。","素食友好;健康;环境安静","午餐价格略高",mock_review
10,越粉小馆,越南菜,35,4.5,0.9,学校东门,10:30-22:00,"越南菜,粉面,不辣,清淡","快速午餐,清淡晚餐","牛肉河粉,鸡肉河粉,春卷","汤底清淡，出餐快，适合不想吃辣的人。","清淡;出餐快;性价比高","停车不方便",mock_review
11,胡同烤肉,烤肉,78,4.4,2.2,中关村,12:00-22:30,"烤肉,朋友聚餐,肉食,热闹","朋友聚餐,庆祝","牛五花,烤羊排,烤蔬菜","烤肉分量大，适合多人一起吃。","适合多人;分量大","不适合素食;油烟较重",mock_review
12,一碗拉面,日料,45,4.7,1.2,五道口商圈,11:00-22:00,"拉面,日料,快速,暖胃","独自晚餐,快速晚餐","豚骨拉面,酱油拉面,煎饺","汤底浓郁，翻台快，适合一个人快速吃饭。","出餐快;味道稳定;位置近","大桌较少",mock_review
13,校园披萨,西餐,29,4.1,0.3,学校北门,10:00-01:00,"披萨,便宜,夜宵,朋友","学生餐,夜宵,朋友分享","玛格丽特披萨,香肠披萨,可乐套餐","离学校很近，价格低，适合夜宵和临时聚餐。","便宜;营业晚;离学校近","品质普通;环境较吵",mock_review
14,海风餐厅,海鲜,188,4.6,4.0,国贸,17:00-23:00,"海鲜,高端,约会,商务","约会,商务宴请","烤三文鱼,龙虾意面,生蚝","海鲜新鲜，环境有仪式感，适合正式场合。","环境好;海鲜新鲜;适合约会","价格高;距离远",mock_review
15,泰好吃,泰餐,52,4.4,1.5,学院路,11:00-22:00,"泰餐,亚洲菜,可调辣,聚餐","朋友聚餐,休闲晚餐","冬阴功汤,泰式炒河粉,芒果糯米饭","泰餐口味丰富，辣度可以调整。","辣度可调;性价比不错","热门菜偶尔售罄",mock_review
16,三明治盒子,简餐,26,4.3,0.6,学校东门,08:30-18:00,"便宜,快速,午餐,外带","快速午餐,工作午餐","火鸡三明治,金枪鱼三明治,汤套餐","简单快速，适合课间或工作日午餐。","便宜;很快;适合外带","关门较早;座位普通",mock_review
17,沸腾火锅,火锅,118,4.5,1.9,中关村,12:00-23:00,"火锅,中餐,朋友聚餐,辣,热闹","朋友聚餐,生日,庆祝","番茄锅,牛油辣锅,肥牛拼盘","锅底选择多，适合朋友热闹聚餐。","适合多人;选择多;氛围热闹","价格偏高;等位时间长",mock_review
18,枫叶小馆,法餐,158,4.7,2.5,三里屯,17:00-22:30,"法餐,约会,安静,高端","约会,生日","法式洋葱汤,鸭胸,焦糖布丁","小而精致，桌距舒服，适合安静约会。","安静;服务好;适合约会","菜单选择少;价格高",mock_review
19,地中海卷饼,地中海菜,34,4.2,0.9,学校南门,10:00-22:00,"平价,地中海菜,快速,清真","快速午餐,学生餐","鸡肉卷饼,鹰嘴豆泥,沙拉碗","卷饼出餐快，价格适合学生，也有清真选择。","平价;快速;清真友好","堂食氛围一般",mock_review
20,早安厨房,早午餐,45,4.6,1.3,五道口商圈,07:00-15:00,"早午餐,咖啡,休闲","周末早午餐,朋友聊天","班尼迪克蛋,松饼,冰咖啡","明亮舒适，适合周末和朋友吃早午餐。","早午餐好吃;服务友好","周末排队;下午关门",mock_review
21,泡菜食堂,韩餐,56,4.5,1.6,学院路,11:30-22:30,"韩餐,亚洲菜,朋友聚餐,微辣","朋友聚餐,休闲晚餐","石锅拌饭,部队锅,烤肉拌饭","韩式小菜丰富，大桌较多，适合朋友聚餐。","适合多人;味道浓郁","部分菜偏辣",mock_review
22,静月日料,日料,128,4.8,2.2,三里屯,17:00-22:00,"日料,安静,约会,高端","约会,安静晚餐","寿司套餐,茶泡饭,抹茶甜品","小店安静，摆盘精致，适合约会和安静聊天。","安静;适合约会;品质高","价格高;需要预约",mock_review
23,快炒档口,中餐,28,4.0,0.4,学校东门,10:30-21:00,"中餐,便宜,快速,外带","快速午餐,学生餐","炒饭,炒面,宫保鸡丁","离学校近，出餐很快，适合赶时间。","便宜;快速;离学校近","不适合正式堂食",mock_review
24,禾木厨房,轻食,68,4.7,1.7,学院路,10:00-21:00,"轻食,有机,素食,安静","健康晚餐,工作午餐","三文鱼能量碗,藜麦沙拉,果昔","有机食材和均衡搭配，环境清爽。","健康;品质高;安静","不算便宜",mock_review
25,牛排先生,牛排,228,4.6,3.2,国贸,17:00-23:00,"牛排,高端,商务,约会","商务宴请,约会","肉眼牛排,菲力牛排,土豆泥","经典牛排馆，服务正式，适合预算充足的场合。","牛排好;服务正式","非常贵;食物偏重",mock_review
26,饺子之家,中餐,36,4.6,0.7,学校东门,11:00-22:00,"中餐,饺子,不辣,朋友聚餐,平价","学生餐,朋友聚餐","猪肉白菜饺子,素三鲜饺子,葱油饼","手工饺子口味温和，价格友好。","性价比高;不辣;离学校近","店面较小",mock_review
27,意面工坊,西餐,58,4.3,1.2,五道口商圈,11:00-22:00,"意面,西餐,休闲,朋友","休闲晚餐,朋友聚餐","培根奶油意面,肉酱意面,蒜香面包","意面分量足，适合朋友随便聚餐。","分量大;适合多人","不够安静",mock_review
